date,return_pct,garch_vol,egarch_vol,gjr_vol,har_vol,ms_vol,ms_state
2018-01-03,0.6378,1.2472110201321738,1.2472110201321738,1.2472110201321738,1.2472110201321738,0.9779518751360138,0
2018-01-04,0.4021,1.1984325339484179,1.2604708951229817,1.2064409777689113,1.2472110201321738,0.9779518751360138,0
2018-01-05,0.7009,1.1443776960364413,1.2674918666616812,1.1622227070276971,1.2472110201321738,0.9779518751360138,0
2018-01-08,0.1661,1.1077454401808688,1.2818866791826502,1.1297220073241436,1.2472110201321738,0.9779518751360138,0
2018-01-09,0.1302,1.05527931810597,1.2825045466265867,1.0869271786205488,1.2472110201321738,0.9779518751360138,0
2018-01-10,-0.11130000000000001,1.0063489119629228,1.282210734787098,1.0466123692353375,1.2472110201321738,0.9779518751360138,0
2018-01-11,0.7009,0.9609894707776931,1.2870250936190282,1.0093080250684368,1.2472110201321738,0.9779518751360138,0
2018-01-12,0.6727000000000001,0.9418526328669368,1.3009706816047322,0.9886449189145597,1.2472110201321738,0.9779518751360138,0
2018-01-16,-0.35309999999999997,0.9228257329764551,1.3138798961324045,0.9684725716822348,1.2472110201321738,0.9779518751360138,0
2018-01-17,0.9371,0.8896582785555499,1.336280422236086,0.9448338805660517,1.2472110201321738,0.9779518751360138,0
2018-01-18,-0.1618,0.8971654878220171,1.3550430169565622,0.9419342051617705,1.2472110201321738,0.9779518751360138,0
2018-01-19,0.4376,0.8612145721218118,1.361954972818336,0.912848203341139,1.2472110201321738,0.9779518751360138,0
2018-01-22,0.8033999999999999,0.8370059448259847,1.3675002953485802,0.8902600689032468,1.2472110201321738,0.9779518751360138,0
2018-01-23,0.21719999999999998,0.8392566846800084,1.382123853158255,0.884954513763298,1.2472110201321738,0.9779518751360138,0
2018-01-24,-0.055999999999999994,0.8093132169849856,1.381661589411021,0.8595180622080112,1.2472110201321738,0.9779518751360138,0
2018-01-25,0.0602,0.779511314898744,1.3799814851520804,0.8345321539104505,1.2472110201321738,0.9779518751360138,0
2018-01-26,1.1772,0.752318223266225,1.3756528946499758,0.811250684618606,1.2472110201321738,0.9779518751360138,0
2018-01-29,-0.6755,0.8068575932274641,1.3995524901105827,0.8405793257864033,1.2472110201321738,0.9779518751360138,0
2018-01-30,-1.0959,0.8025274049064377,1.4446076057876736,0.854932151822795,1.2472110201321738,0.9779518751360138,0
2018-01-31,0.0489,0.8387454257324085,1.521331937444792,0.9257798581591099,1.2472110201321738,0.9779518751360138,0
2018-02-01,-0.0648,0.8064046679451169,1.5131706976823722,0.8958882130994774,1.2472110201321738,0.9779518751360138,0
2018-02-02,-2.1437,0.7769125073687021,1.5088444285224922,0.868362075120914,1.2472110201321738,0.9779518751360138,0
2018-02-05,-4.1842999999999995,0.9832568258930006,1.6684300326065766,1.1632373306132557,1.760744852470113,0.9779518751360138,0
2018-02-06,1.7291,1.556856411796369,1.9976052544633742,1.9235620587269364,2.9688184630253156,0.9779518751360138,0
2018-02-07,-0.5014000000000001,1.5583121358760963,2.017701404606943,1.8816428485690933,1.966720265416513,0.9779518751360138,0
2018-02-08,-3.8259000000000003,1.4802627639831878,2.031483849549684,1.8035600377001242,1.7094139233667192,0.9779518751360138,0
2018-02-09,1.4826000000000001,1.802559691773467,2.311850002919664,2.2378355946326285,2.996887048438763,0.9779518751360138,0
2018-02-12,1.3819,1.7565628722679847,2.3152759930361593,2.161044702434236,2.1226186315492472,0.9779518751360138,0
2018-02-13,0.261,1.7076132674696531,2.31606365625646,2.085375829077807,1.867511718544224,0.9779518751360138,0
2018-02-14,1.3313,1.6138282695163355,2.288961267371298,1.9872370468131217,1.632033810525995,0.9779518751360138,0
2018-02-15,1.1997,1.574866227985612,2.2893908348098435,1.9213672892444762,1.8342501759574674,0.9779518751360138,0
2018-02-16,0.0373,1.530183901112133,2.286517409036147,1.8547114455180307,1.5713522869172274,0.9779518751360138,0
2018-02-20,-0.5859,1.4466017291826236,2.2549014779176213,1.768375886370544,1.3510427788193828,0.9779518751360138,0
2018-02-21,-0.5512,1.3797305832792712,2.267189319800832,1.701060753742179,1.3616776747453856,0.9779518751360138,0
2018-02-22,0.0973,1.3167160819122081,2.2764410220031883,1.6364267864174376,1.3622119194897686,0.9779518751360138,0
2018-02-23,1.5900999999999998,1.2482730679125313,2.246646662739142,1.5626202701068594,1.280805986244599,0.9779518751360138,0
